,weight,mean_johannine_epistle,mean_johannine_gospel
fw_we,0.048020641551869275,25.1426074850544,3.0835756366290425
fw_us,0.04581565254696825,10.98795921688654,1.2200776596947007
fw_our,0.043208127633321505,5.256019197378899,0.6612476068507358
fw_in,0.04245041081018171,25.33243962805988,11.659526406848274
fw_me,-0.035091808188716614,0.0,12.673315439582321
fw_not,0.03361302652938189,22.943576487593855,15.501889770149855
fw_what,-0.033531208549509,0.3291639236339697,2.80797814125939
fw_between,-0.033317677636624236,0.0,0.05100999795960008
fw_can,-0.031981622277260514,0.25,0.965897117568972
fw_unto,-0.03086811877437022,10.770868238933637,19.976503706465774
fw_who,0.02998508628701238,2.5127419520904066,1.146564196638334
fw_am,-0.029843418454738452,0.0,3.5582429918918583
fw_is,0.029323861293113696,28.646988233131427,11.87165817058099
fw_art,-0.02910018475823309,0.0,1.4515191570904595
fw_as,0.02908895827173025,6.099096076420515,3.569347597975288
fw_then,-0.028396703826295208,0.3291639236339697,7.200119018363925
fw_it,-0.028354763800782175,2.9881941340566867,7.063815332004008
fw_man,-0.028248999559339412,1.5729098090849243,6.4354864576347115
fw_that,0.027786397155308448,45.23039642337769,27.63180339120271
fw_hath,0.02738718419076026,8.927557636899706,3.8925341107495397
fw_wherefore,0.026460646646935426,1.0120395889356288,0.05064060363599533
fw_into,-0.025448515754298948,2.172240802675585,3.501541900706852
fw_more,-0.02522848634788212,0.0,0.9940811796375036
fw_up,-0.025203063024009945,0.16458196181698484,2.419860929674209
std_sent_len,0.024997662906161053,9.757208823189991,8.658726805128127
fw_yet,-0.024710179772143268,0.16458196181698484,1.9698567707777168
fw_my,-0.024334592794471553,1.3412035125695987,7.0975032902192465
fw_nor,-0.024277917106637056,0.0,0.5077810446283247
ttr,0.024242107355597363,0.340775503915989,0.2362299627059665
fw_while,-0.02420131641985236,0.0,0.8616346298426295
fw_her,-0.02418956220794372,0.8361204013377926,1.9376163913665765
fw_or,-0.02396529262789182,0.0,0.5586228336215335
fw_neither,0.023233693119060074,2.3419058757243763,0.8135711973043385
fw_have,0.022416458445851533,13.818059226667604,8.247112682492483
fw_when,-0.022285129062497862,1.4266215507526137,5.317288353522079
fw_now,-0.022020471350613142,1.909030210422717,3.953418326138058
fw_so,-0.021696702447860795,0.6645819618169848,1.8662231323016596
fw_was,-0.021419226787096485,1.402073732718894,9.462543420130334
fw_from,0.02073960873145552,7.149331433943736,3.6659359219771996
fw_the,0.020077742171686834,59.91701643326772,54.100707213900606
fw_through,-0.01981094715424825,0.25,0.5363996016968821
fw_him,-0.019542741474998692,12.597893791241818,21.52835251045844
fw_a,-0.01953556925750526,6.514849041554738,8.401577727125108
fw_were,-0.019368238231382312,0.4937458854509546,3.1516280582245226
fw_did,-0.01934738582850522,0.0,2.0688480645420952
fw_because,0.01910598647438254,5.7307690161904015,3.6142393622496534
fw_had,-0.019099704781358015,2.012741952090406,4.253342093993076
fw_done,-0.017667632154255132,0.0,0.8126975276157992
fw_if,0.017501218119313086,6.585183121012868,4.2516162593995395
fw_they,-0.017491658930621122,3.5856517611753307,11.28115488544443
fw_thou,-0.01723761053969258,5.084745762711864,9.209776406628388
fw_his,0.017126624553575914,11.810869025971465,9.238109290236952
fw_any,0.016639280034065184,2.0798662867887474,1.4522582584662627
fw_therefore,-0.01662544975971303,1.4266215507526137,4.002156846919446
fw_which,0.01596676098605798,8.702339177925742,6.860232590441632
fw_same,-0.015883683568319238,0.3291639236339697,1.0171409578391013
fw_are,0.015604519162365717,5.317358057690656,3.32478520155995
fw_thy,0.015267266763105513,3.367156056912873,1.8149431509933278
fw_also,0.01496926789513505,3.421069799358346,2.880814030509809
fw_another,0.01440186377417824,2.0798662867887474,0.8925587138578419
fw_them,-0.014278404393173284,3.456954843172917,9.628048117561748
fw_against,0.014023920552403753,0.847457627118644,0.304882468426556
fw_such,0.013584992458187495,0.847457627118644,0.2036705975147956
fw_of,0.013252963480525263,27.946786232353645,24.647774135035807
fw_do,-0.01325248659510524,1.8412035125695987,2.7718743504410623
fw_there,-0.013174555090094233,2.415284324971762,3.373012544172719
fw_all,0.012908984288212532,4.09769135011096,2.649436132988796
fw_will,-0.012826104792064332,2.109497216054273,3.9962893366273375
fw_shall,-0.012240702433935184,5.176855273744929,7.051221420333379
fw_thee,0.012178114698699116,6.745649339606599,3.391184069615958
fw_for,0.011815312910220399,10.337290210477201,8.604601989107842
fw_ye,-0.011461950830436964,8.298829437035835,12.111799429110668
fw_i,-0.011399949508733057,18.735980650811243,21.86040189329398
