,weight,mean_pastoral,mean_undisputed
fw_it,-0.07125978474156333,1.2897559122261602,7.0450593632718865
avg_word_len,0.06337572357116662,4.45034951904727,4.096575061604177
fw_another,-0.06150275543176659,0.5195411914392828,2.144114685260207
fw_you,-0.056344059195663224,0.9422306252993152,11.9273479502779
fw_out,0.055216020840956156,1.6440785956014896,0.7384098168647981
fw_at,0.053007315273176314,3.0659686689499313,1.2827808079841791
fw_as,-0.05248474427542224,3.5224032334609388,9.131273966570715
fw_before,0.05160317177695659,2.802361130414672,1.265164460023539
fw_more,-0.05159952754291593,0.39968025579536365,2.1650616466953485
fw_they,0.04925904006314951,10.212887017007487,4.885128652546349
fw_now,-0.048549461317838674,1.341250097385376,3.808661554527935
fw_and,0.0483119139099603,42.85431931409149,29.26044453721422
fw_for,-0.04453979231717469,14.961494457530458,20.84315156378754
fw_among,-0.04231781889513887,0.19984012789768182,1.383738783882874
fw_then,-0.040258005818562335,0.44503782821539833,2.800851456399696
fw_can,0.03901935138209088,0.44503782821539833,0.23690336153990485
fw_your,-0.03852370596634265,0.0,3.9635835221633977
fw_a,0.03758637322401936,12.52353117936812,8.804886615880937
fw_were,-0.0375351704393571,0.3711952487008167,2.9719992272484315
fw_so,-0.03733483483068949,0.6448779561130801,3.318043118372041
fw_art,-0.035711265480213465,0.1483459427384661,0.3701670559687031
fw_through,-0.033425317896701466,1.2904166959354633,2.02126552648248
fw_or,-0.03335524933798385,1.63246615383243,3.43279396643339
fw_upon,-0.03333571300775672,0.1483459427384661,1.2115115818074955
fw_ye,-0.03329996429761788,0.0,10.678273114820582
fw_have,-0.03292473637246938,5.582373866473977,8.292927798685566
fw_from,0.03282418277719443,4.150408624248531,2.983213268923912
fw_not,-0.032386487458353944,12.496367739692177,17.723888524671615
fw_the,-0.032206205666212726,46.97032202397975,57.05608379651298
fw_all,0.031099998397490065,10.567209700382817,7.588334282274458
ttr,0.0301738580366105,0.3448348145430061,0.2723794723548872
fw_i,-0.029007712653978696,10.218578551510815,20.886289885179732
fw_she,0.02820467224673772,1.335113484646195,0.6429120085497733
fw_him,-0.028023338752408637,2.8661285410522495,4.8679152406149075
fw_might,-0.027987384999108324,1.2904166959354633,2.4320397057892893
fw_by,-0.027458009970956876,3.62539160377937,8.01541760050904
fw_both,-0.027260049178934414,0.6678871341777489,0.7838186228674507
fw_because,-0.02655429901123465,0.7417297136923305,1.4381390340106257
fw_be,0.026487167889113324,18.08072395729406,13.96618198892611
fw_same,-0.02641266521128404,0.19984012789768182,1.590125012827294
fw_is,-0.025513873384621397,13.249049111444265,17.12189987599722
fw_my,-0.025453719624227288,2.4949332923514325,4.478659553717436
fw_every,-0.025289862883266907,2.158143958010894,2.5744770365229637
fw_therefore,-0.02518578581272952,1.7924245383399555,2.6936354766111728
std_sent_len,-0.024591008116392955,10.988533453191096,11.807726563661912
fw_with,0.024108915082705448,7.632269330610011,7.162860644087286
fw_after,0.02356211639466598,2.278004893654813,1.663956088661352
fw_do,-0.022627951231912705,1.4442384677038076,3.161891171501661
fw_me,0.022557305926034055,6.702972714498361,4.882919918124276
fw_what,-0.020987920107453893,0.5480261985338297,2.3890525905969833
fw_any,-0.02067297788601991,1.1129249623931472,2.422019169098874
fw_such,-0.020225671137936115,0.7193813193369646,1.1585229248256086
fw_are,-0.01961040755162747,6.348434325649581,10.881362216127373
fw_into,0.019088661450736694,1.6832995552823427,1.2742932510672158
fw_but,0.01908159155371849,12.936145444351148,15.198611565440071
fw_unto,0.018685817197201183,10.356633619898828,8.970704055275409
fw_thee,0.01832199660551801,6.085703276297075,2.153660326476086
fw_when,-0.01742550641321965,1.4672476457684762,2.4205999015179764
fw_may,0.01739104665773606,4.2932787379571185,2.725555424224312
fw_will,0.016761237945952,3.111326241369966,3.085115164890381
fw_yet,-0.01645288803550985,0.39968025579536365,1.8450426238827733
fw_wherefore,-0.016410081502738358,0.5710353765984985,1.091937777409161
fw_no,0.016385508980592906,3.693758354264073,3.1974791674136895
fw_this,0.016033841760534732,4.3156271323124855,4.328639699137538
fw_we,-0.014934022617765063,3.5738974186201546,10.460519255227851
fw_am,-0.01417180876178362,1.2958925249653415,2.0200845541793098
fw_if,-0.013290717638217054,4.291957170538513,6.171563973362047
fw_over,-0.01318852617725136,0.1483459427384661,0.5161194196942372
fw_been,-0.012996269308726022,0.7193813193369646,0.6232804345831254
fw_that,0.012686286223595975,27.014806720135145,25.64946106792688
fw_there,-0.012596308730028632,1.4387626386739292,2.2960945942147837
fw_did,-0.012435090684936194,0.3481860706361479,0.8296416515280713
fw_while,0.012387904354913288,0.2966918854769322,0.2447119654226203
fw_other,-0.012108301721020884,0.44503782821539833,0.972452262022688
fw_whose,-0.01118056494777697,0.3711952487008167,0.37042133050079457
fw_shall,-0.010917347227683772,4.16202106601759,6.218186071286
fw_their,0.010304925890876941,4.835829107461071,1.8552351320837515
fw_had,-0.009712774296731116,0.3711952487008167,1.2982809140631204
fw_also,-0.00950231660605169,4.630068072297657,5.6216381454997775
fw_thy,-0.00932730682281864,1.992264666237637,1.7069137598369986
fw_under,-0.008892252424688545,0.2966918854769322,1.0365938386666247
fw_nor,0.008887646117195662,0.7932238988515462,1.2063500359059032
fw_up,0.008527247761979762,1.2897559122261602,1.2314153416797993
fw_her,-0.008091483070251284,0.0,1.0445995669993748
fw_neither,-0.007282848592509102,0.44503782821539833,1.3097196517749723
fw_whom,0.006531667860018173,2.1406106089761034,2.1469064435103014
fw_thou,0.006503389628159394,6.787551246599249,3.2127879825044245
fw_none,-0.006230418836870637,0.1483459427384661,0.6457401038344517
fw_he,-0.006099534972110573,6.9310821440171395,8.256015015032574
fw_was,-0.006087296493318657,2.5856484371915016,3.918602118253086
fw_them,-0.005047572183016688,6.4961194846787444,4.829618350901648
fw_against,-0.003854967648706402,0.6448779561130801,0.751521639126531
fw_between,0.003630591281611851,0.1483459427384661,0.12552760439574784
fw_who,0.0030394022698306275,3.7730767628085338,3.189381365671628
fw_in,-0.0029598556218212533,21.378295533664744,22.37456099621401
fw_until,-0.002663204687948985,0.1483459427384661,0.28676387776575235
fw_either,-0.002446420965884901,0.0,0.05347628088416535
avg_sent_len,-0.0020130318439356035,17.568723394447716,18.07408765032819
fw_us,0.001895362530990213,3.722904145067923,4.086132562288839
fw_hath,-0.00155470888033046,3.2541963550785535,3.8663659267211417
fw_on,-0.0012617039840980963,2.18049235236626,1.6253701832807592
fw_man,0.0009712229393987488,4.560824832630201,5.4246050872902485
fw_done,0.0009448631136121932,0.3711952487008167,0.4630155180812748
fw_which,0.000844215256921038,10.275332860226458,9.491108262374189
fw_of,-0.0007799048428780309,37.266685324061086,36.737629857056035
fw_his,-0.0007137055818214055,4.098914439089316,4.086557483742756
fw_our,0.0006250412273073637,4.561485616339504,4.862216929224232
fw_to,-0.0003730698400056867,27.3060227765822,21.284745973845265
fw_has,0.0,0.0,0.0
