,weight,mean_non_pauline,mean_undisputed
fw_he,0.0722466698178318,19.080746754946794,8.256015015032574
fw_wherefore,0.06463957231587028,1.7840632563380265,1.091937777409161
fw_whose,0.06423991753756364,1.351844676001969,0.37042133050079457
fw_after,0.06360478237512178,3.7185211406584573,1.663956088661352
fw_also,-0.06201073119619738,3.7402202121410424,5.6216381454997775
fw_or,-0.05406910304452704,0.7249497428186886,3.43279396643339
fw_against,-0.050390331600516584,0.2663115845539281,0.751521639126531
fw_might,-0.0501793235985985,1.5216929579317402,2.4320397057892893
fw_shall,-0.0493005591431761,4.135092392300326,6.218186071286
fw_them,0.04929444678475206,8.204294465626981,4.829618350901648
fw_upon,-0.04899702550864875,0.531828298595468,1.2115115818074955
fw_a,0.047735362820893745,12.582496575374659,8.804886615880937
fw_among,-0.04604788752827262,0.13271400132714,1.383738783882874
fw_between,-0.044551453374738065,0.0,0.12552760439574784
ttr,0.044366715031201126,0.32535727599096154,0.2723794723548872
fw_in,-0.04412547229002817,13.323581861622596,22.37456099621401
fw_other,-0.04286912976965536,0.0,0.972452262022688
fw_none,-0.04261650254542901,0.0,0.6457401038344517
fw_before,-0.042082572691329714,0.798139883149396,1.265164460023539
fw_with,0.04132917832429871,9.29343098394178,7.162860644087286
fw_him,0.0409062601869487,7.369392993556613,4.8679152406149075
fw_our,-0.04012824940962015,2.510851458142884,4.862216929224232
fw_but,-0.04005573427028821,8.769740133426875,15.198611565440071
fw_am,-0.03971240741741949,0.0,2.0200845541793098
fw_have,0.03818519864110457,8.88968299002697,8.292927798685566
fw_for,0.03803873956903467,24.005167788470594,20.84315156378754
fw_now,-0.03775192225116121,2.322467936566168,3.808661554527935
fw_their,-0.03675937621022501,2.488463643735557,1.8552351320837515
fw_into,0.03665287520566426,3.408925170206287,1.2742932510672158
fw_i,-0.03612123586217622,6.314486470414465,20.886289885179732
fw_what,-0.03570780332974635,0.7605812277973281,2.3890525905969833
fw_and,0.035159916330812745,36.81567467113588,29.26044453721422
fw_was,0.03464136105192313,7.589757855128892,3.918602118253086
fw_my,-0.03461699478577382,2.6075309778475155,4.478659553717436
std_sent_len,0.034309688251890666,14.362854569814147,11.807726563661912
fw_his,0.03391944463439557,6.933269725460162,4.086557483742756
fw_over,0.03379505303055101,1.2197498883991726,0.5161194196942372
fw_while,0.03237885170103234,0.6624568889615221,0.2447119654226203
fw_will,0.03179370366708126,4.997654065666792,3.085115164890381
fw_your,-0.03135524597448994,1.7845050472878505,3.9635835221633977
fw_you,-0.030703179391550466,4.64416018480681,11.9273479502779
fw_they,0.03035889587223695,7.8048427390100015,4.885128652546349
fw_to,-0.029360062565405298,20.381134628968034,21.284745973845265
fw_me,-0.028464059428569867,1.6882191674382132,4.882919918124276
fw_out,0.02795379707067745,1.3285715137085192,0.7384098168647981
fw_of,0.027763971166503774,45.48366022719405,36.737629857056035
fw_be,-0.027429407757103105,8.49131145027102,13.96618198892611
fw_as,-0.026527141536327254,7.303645400557841,9.131273966570715
fw_had,0.026341867215042135,3.7190864753963155,1.2982809140631204
fw_any,0.026255555675855732,2.23640858333228,2.422019169098874
fw_more,0.02597990238213393,3.1771626878512627,2.1650616466953485
fw_not,-0.024407589338233743,13.4313884374339,17.723888524671615
fw_then,-0.023866928807403813,1.822949050526041,2.800851456399696
fw_another,-0.02373926604879657,1.0601571019931182,2.144114685260207
fw_it,-0.023394550700204315,5.293356416928863,7.0450593632718865
fw_are,-0.022931671902415955,5.982585963381652,10.881362216127373
avg_sent_len,0.02290784582083439,20.9760938513449,18.07408765032819
fw_because,-0.022575641495364722,1.3269104774968703,1.4381390340106257
fw_is,-0.02243930442829177,13.843429788497076,17.12189987599722
fw_art,0.022430563548978693,1.0582299316196897,0.3701670559687031
fw_thy,-0.02195841992423744,1.4508931570298533,1.7069137598369986
fw_thou,-0.02179625508744205,2.908856599642214,3.2127879825044245
fw_can,0.020680047963532573,0.39920300865558767,0.23690336153990485
fw_yet,0.020618902544977554,2.054917924563553,1.8450426238827733
fw_when,0.019146617549892525,3.550457438728369,2.4205999015179764
fw_under,0.01777612057935669,1.0579829796447726,1.0365938386666247
avg_word_len,0.01703793790241594,4.250789133779932,4.096575061604177
fw_the,0.016469306920381184,64.99045278927903,57.05608379651298
fw_neither,-0.01633166768875989,0.6638535569978667,1.3097196517749723
fw_so,0.015913035735103987,2.9433169904538583,3.318043118372041
fw_such,0.015323880793368801,1.1247527830117579,1.1585229248256086
fw_were,0.014967548789093128,3.9861563320753817,2.9719992272484315
fw_nor,-0.014374430559438656,0.8594134917447376,1.2063500359059032
fw_on,0.013970296500857706,2.2145146728747878,1.6253701832807592
fw_by,-0.013240427010021661,9.486319654748602,8.01541760050904
fw_same,-0.01317501507964408,1.0234820285406983,1.590125012827294
fw_her,-0.013144832752963269,0.0,1.0445995669993748
fw_therefore,-0.012707451672975358,2.1796780584085367,2.6936354766111728
fw_who,0.012516706602293187,4.796522973387303,3.189381365671628
fw_us,-0.01222209527699976,4.501968572200186,4.086132562288839
fw_been,-0.012047609058376348,0.6297943968436165,0.6232804345831254
fw_may,-0.012003459290430018,1.6821344938366682,2.725555424224312
fw_we,-0.011669537346536411,7.72749905735636,10.460519255227851
fw_man,-0.01157605210338785,2.711064566054181,5.4246050872902485
fw_from,0.011343222052626271,3.2089224158826584,2.983213268923912
fw_every,-0.010718149531443007,2.3542468467844255,2.5744770365229637
fw_both,0.010576427210877867,1.3269991888841302,0.7838186228674507
fw_through,-0.010194317864758436,2.547455236408431,2.02126552648248
fw_ye,-0.010170614297889678,4.835136905521884,10.678273114820582
fw_done,-0.010156330383080728,0.2663115845539281,0.4630155180812748
fw_thee,-0.00993275473063907,1.3859038361562193,2.153660326476086
fw_there,0.00860506596651279,2.2200300498332934,2.2960945942147837
fw_do,0.007839630641940978,2.4759087160889854,3.161891171501661
fw_which,-0.007127047933870355,10.537332182973476,9.491108262374189
fw_unto,-0.006491147119198832,8.067178205015514,8.970704055275409
fw_until,0.00648963101381889,0.264650548342279,0.28676387776575235
fw_hath,-0.005215270421824233,3.6386312105081933,3.8663659267211417
fw_either,-0.0045844626816910605,0.0,0.05347628088416535
fw_whom,-0.0037728592282881977,2.9736105212485113,2.1469064435103014
fw_at,-0.00266586994343551,1.2862941178968088,1.2827808079841791
fw_that,-0.0023840658505860472,23.415019359527754,25.64946106792688
fw_this,0.0021311731921367164,3.379461206723645,4.328639699137538
fw_if,-0.0017952499956486422,3.697871521142459,6.171563973362047
fw_no,0.0016648138790403078,2.687258705504941,3.1974791674136895
fw_did,0.0009843962238190104,0.9242966850307246,0.8296416515280713
fw_all,0.000846403092089134,6.406250644698074,7.588334282274458
fw_up,0.0006256545877579428,1.2923208150055363,1.2314153416797993
fw_she,0.000609125577225803,0.3994673768308922,0.6429120085497733
fw_has,0.0,0.0,0.0
