,weight,mean_johannine_apoc,mean_johannine_gospel
fw_are,0.052642152891794136,6.527137482328103,3.32478520155995
fw_whom,-0.05077674973529058,0.24606447396503528,2.243366323091097
fw_then,-0.03876950778458474,0.17488344357029156,7.200119018363925
fw_now,-0.03833612014286496,0.0821827744904668,3.953418326138058
fw_but,-0.03819517270738154,1.9188456492615746,10.37764390591907
fw_and,0.03791007152607279,97.70068901661892,48.32701861512142
fw_not,-0.037182627172685744,5.053314282546403,15.501889770149855
fw_when,-0.036337759204267475,2.148917844927898,5.317288353522079
fw_a,0.036269081109304324,15.544590080914135,8.401577727125108
fw_same,-0.035838492043452866,0.24736428097199922,1.0171409578391013
fw_as,0.03550503267395859,6.891479460407244,3.569347597975288
fw_of,0.03437314534704529,47.91305204097883,24.64777413503581
fw_him,-0.033699516086727666,7.748558369517131,21.52835251045844
fw_might,-0.03331614746960437,0.4113472674930587,1.9377214309233426
std_sent_len,0.03299468496981857,13.992357895846911,8.658726805128127
fw_which,0.03215814299765619,11.794804031249841,6.860232590441632
fw_therefore,-0.029736690798574567,0.5753948401963238,4.002156846919446
fw_we,-0.02938887683870942,0.24725593203641916,3.0835756366290425
fw_the,0.028851219839293007,87.93993390066558,54.100707213900606
fw_have,-0.028730931435910767,2.9872801768552977,8.247112682492483
fw_thy,0.027829467391774863,3.3070957398608467,1.8149431509933278
fw_yet,-0.027100744476338895,0.49288101549679086,1.9698567707777168
fw_that,-0.026990021588866018,15.132581489694402,27.63180339120271
fw_he,-0.02684911353511113,10.71862258206257,23.95585587200046
fw_through,-0.026729058792265704,0.2563588225001314,0.536399601696882
fw_did,-0.026600238327768463,0.3383278732554186,2.0688480645420952
fw_can,-0.026579136735855068,0.165019089931156,0.965897117568972
avg_sent_len,0.026270608595846533,21.673687096285875,16.632636359742634
fw_who,0.026205570635691466,1.561380495954447,1.1465641966383338
fw_between,-0.02596411317140069,0.0,0.05100999795960008
fw_unto,-0.025487556949428773,10.327575067626002,19.976503706465774
fw_they,-0.02493748286158273,7.475865521150682,11.28115488544443
fw_after,-0.02491559144619818,0.9035911995374193,1.3585381512994448
fw_me,-0.02484580113612007,3.4161784307660663,12.673315439582321
fw_will,0.024812153291066265,3.423538805970702,3.9962893366273375
fw_every,0.023917848862778805,1.765804265047223,0.8418546657325241
fw_up,-0.023853396285168325,1.8891437482262654,2.419860929674209
fw_may,-0.023204245718728627,0.4301594400093082,1.8782719390032254
ttr,0.02293632721436697,0.2636113958949933,0.23622996270596647
fw_this,-0.021035661134553567,1.4752229300969795,6.666454268166522
fw_art,-0.02041232906389135,1.0706733223244396,1.4515191570904595
fw_by,-0.020350637336409762,1.6531580614206138,1.9105405173580865
fw_ye,-0.020346072085745917,0.9017528443345054,12.111799429110668
fw_before,0.019863793618160555,2.8921024914433167,1.1676868204586874
fw_upon,0.019578631935122996,4.695371833861308,0.5586887540508922
fw_against,0.019473139294785263,0.7380851516698057,0.304882468426556
fw_out,0.01917932389022778,5.403296732217761,2.338334221875831
fw_neither,0.019074309243430995,1.6956553110381862,0.8135711973043385
fw_what,-0.018669177896810173,0.9043018467103615,2.80797814125939
fw_into,-0.018632510765706004,2.769994152765281,3.501541900706852
fw_with,0.018147743832275486,8.480735219594193,4.587479899750225
fw_man,-0.017628114010010756,2.7659438207901763,6.4354864576347115
fw_or,0.017603190425236594,0.8322966045985221,0.5586228336215334
fw_was,-0.01707277947432871,9.474307159364784,9.462543420130334
fw_them,-0.01704277316209078,7.87524904578946,9.628048117561748
fw_at,-0.01698220570990608,1.2591712049203174,2.7536631589743927
fw_while,-0.016703740372911658,0.0,0.8616346298426295
fw_shall,0.016495167740597907,8.376229796500008,7.051221420333379
fw_it,-0.01610638940869287,5.326437276858233,7.063815332004008
fw_is,-0.015942589724123008,8.374893140367027,11.87165817058099
fw_whose,-0.015511378450892743,0.41070078843192537,0.5668946046666694
fw_also,-0.01525774744406335,0.740306290976968,2.880814030509809
fw_over,0.01522836217703103,1.2324787886560211,0.25370610709220326
fw_thou,-0.015015880487088263,5.02598256320843,9.209776406628388
fw_among,-0.014145989227541999,0.24654924626086044,1.19825094457194
fw_other,-0.014019165525302715,0.24627890748528314,1.2143887143384262
fw_if,-0.01376104764684662,0.7599209289920221,4.2516162593995395
fw_their,0.013312382135779947,6.2942744989913875,0.9658989875326114
fw_on,0.013302517344508418,4.818978236687738,3.5531756205623584
fw_because,-0.012756409613721327,1.316731444185454,3.6142393622496534
fw_am,-0.012276357948530874,1.2714592670628386,3.5582429918918588
fw_so,-0.012045645253507587,0.995526943866742,1.8662231323016596
fw_your,-0.012029430406368176,0.2460092784947741,1.8781735714962695
fw_thee,-0.01157714272232336,2.392082331936154,3.391184069615958
fw_were,0.011072267734412288,8.028519116449935,3.1516280582245226
fw_done,-0.011002129949519351,0.2661691085244706,0.8126975276157992
fw_you,-0.010924203018635071,0.9220703578483447,8.19990341608276
fw_be,0.010390029970888115,6.028605719531809,5.203617184533528
fw_more,0.010060869355537627,1.5976062906158686,0.9940811796375036
fw_both,-0.00973396391704219,0.49170150045971134,0.5077828984347803
fw_us,-0.008583689030070486,0.6578007340306732,1.2200776596947007
fw_do,-0.008552293279052154,0.852407164551599,2.7718743504410623
fw_in,0.008372341930623799,13.874041149710886,11.659526406848274
fw_either,0.006825175988000275,0.09204712812960235,0.050976194117347204
fw_she,-0.006778411075736894,1.2316677723292893,1.1721315050968826
fw_hath,-0.006406399680874206,2.6279514106929707,3.8925341107495397
fw_her,0.005559660535196819,5.198553086122551,1.9376163913665765
avg_word_len,-0.005383047514104717,4.018425341608972,3.9512013466969864
fw_wherefore,0.005287418562138892,0.08207485226526591,0.05064060363599533
fw_for,-0.004319989155675819,8.025103184256418,8.604601989107842
fw_until,-0.004206756608303253,0.24606447396503528,0.10134797141653386
fw_had,0.0029896417772097214,4.018910080198618,4.253342093993076
fw_all,0.0029144316229072096,4.009134283103451,2.649436132988796
fw_none,0.0023297507326683602,0.1639344262295082,0.43511944999594093
fw_been,0.002262273882245522,0.1649111677059551,0.4574109640483669
fw_our,0.0021824245679294774,1.1602174567474446,0.6612476068507358
fw_from,0.002045825415574706,3.9120001161960514,3.6659359219771996
fw_there,-0.0020364071610175054,4.056013267724646,3.3730125441727195
fw_any,0.0018085361709154085,1.4369533032275137,1.4522582584662627
