book,undisputed,johannine_gospel,johannine_apoc,non_pauline,nearest
Eph,0.9367622181176645,1.3202244255933027,1.5354739190436235,0.9138648220580703,non_pauline
Col,1.1466047763235128,1.5897073460124442,1.5281083762073873,0.9701736631944099,non_pauline
2Thess,1.0016646210843017,1.4745835497689568,1.717079725117089,0.969402517027501,non_pauline
1Tim,0.8846743066748058,1.3973959492918484,1.6763908302631663,1.026430039251104,undisputed
2Tim,0.6640861812530237,1.3877782549014694,1.5751382834689833,0.6489533801325015,non_pauline
Titus,1.267677446313542,1.555868374271168,1.8918198594931035,1.2239477064745423,non_pauline
Heb,0.8452292297675688,1.357910168103299,1.362600520709379,0.0,non_pauline
1Pet,0.766542083853782,1.6308559672567582,1.786489281717081,1.0077226494468836,undisputed
2Pet,1.049760192674858,1.4692411351543218,1.6459559256952137,0.9725588440515472,non_pauline
