comparison,centroid_dist,perm_p,svm_cv_acc,n_chunks
Isaiah 1-39 vs 40-66 (WEB),7.17070720457311,0.0001999600079984003,0.95,23
Undisputed Paul vs Pastorals (WEB),8.109573267346335,0.0001999600079984003,,25
Undisputed Paul vs Hebrews (WEB),7.724812435964025,0.0003999200159968006,0.9266666666666667,26
John vs Revelation (WEB),9.685177082887137,0.0001999600079984003,1.0,20
1 Peter vs 2 Peter (WEB),14.99091173058782,0.6660667866426715,,3
