book,label,chunk_id,group,company,fw_the,fw_and,fw_of,fw_to,fw_that,fw_in,fw_he,fw_shall,fw_for,fw_unto,fw_his,fw_i,fw_a,fw_not,fw_be,fw_they,fw_it,fw_is,fw_with,fw_him,fw_them,fw_but,fw_as,fw_have,fw_was,fw_which,fw_all,fw_my,fw_thou,fw_me,fw_their,fw_ye,fw_you,fw_this,fw_will,fw_from,fw_are,fw_were,fw_by,fw_we,fw_her,fw_she,fw_or,fw_when,fw_then,fw_out,fw_up,fw_upon,fw_so,fw_if,fw_at,fw_on,fw_what,fw_there,fw_no,fw_man,fw_now,fw_also,fw_more,fw_before,fw_because,fw_into,fw_after,fw_can,fw_may,fw_might,fw_do,fw_did,fw_done,fw_had,fw_has,fw_been,fw_am,fw_art,fw_hath,fw_thee,fw_thy,fw_your,fw_our,fw_us,fw_who,fw_whom,fw_whose,fw_any,fw_every,fw_none,fw_both,fw_such,fw_same,fw_other,fw_another,fw_therefore,fw_wherefore,fw_yet,fw_neither,fw_nor,fw_either,fw_while,fw_until,fw_against,fw_among,fw_through,fw_over,fw_under,fw_between,avg_sent_len,std_sent_len,avg_word_len,ttr,n_words
Isaiah,Isaiah_1-39,0,proto_isaiah,First Oxford,91.75531914893617,68.48404255319149,58.51063829787234,11.303191489361703,9.97340425531915,12.632978723404255,6.648936170212766,26.595744680851062,11.96808510638298,6.648936170212766,8.643617021276595,7.978723404255319,9.308510638297872,6.648936170212766,21.27659574468085,13.297872340425531,6.648936170212766,13.297872340425531,5.319148936170213,0.0,3.324468085106383,2.6595744680851063,9.97340425531915,6.648936170212766,0.6648936170212766,2.6595744680851063,5.319148936170213,3.324468085106383,2.6595744680851063,5.319148936170213,6.648936170212766,11.96808510638298,1.9946808510638296,1.3297872340425532,6.648936170212766,5.319148936170213,5.98404255319149,0.0,1.9946808510638296,1.9946808510638296,0.6648936170212766,0.0,1.3297872340425532,3.9893617021276593,0.0,0.6648936170212766,4.654255319148936,7.3138297872340425,0.0,1.3297872340425532,1.9946808510638296,0.0,0.6648936170212766,1.9946808510638296,1.9946808510638296,6.648936170212766,1.3297872340425532,1.9946808510638296,3.324468085106383,1.3297872340425532,0.6648936170212766,4.654255319148936,0.6648936170212766,0.0,0.0,0.0,1.3297872340425532,0.0,0.0,0.6648936170212766,0.0,1.9946808510638296,1.3297872340425532,0.0,2.6595744680851063,1.3297872340425532,5.98404255319149,7.978723404255319,1.3297872340425532,3.324468085106383,0.6648936170212766,0.0,1.3297872340425532,2.6595744680851063,4.654255319148936,0.6648936170212766,0.6648936170212766,0.0,0.0,0.0,0.6648936170212766,1.9946808510638296,0.0,0.0,4.654255319148936,0.6648936170212766,0.0,0.0,0.0,2.6595744680851063,0.6648936170212766,0.0,0.6648936170212766,0.6648936170212766,0.0,21.485714285714284,13.607500932671401,4.082446808510638,0.3125,1504
Isaiah,Isaiah_1-39,1,proto_isaiah,First Oxford,84.82438701126574,80.18555334658714,45.06295559973492,11.928429423459244,22.53147779986746,15.904572564612325,5.301524188204109,30.483764082173625,13.25381047051027,7.28959575878065,7.952286282306162,6.626905235255135,15.904572564612325,3.3134526176275676,17.892644135188867,10.603048376408218,15.904572564612325,7.28959575878065,7.28959575878065,3.3134526176275676,9.940357852882704,3.976143141153081,4.638833664678596,5.301524188204109,0.0,1.3253810470510272,1.9880715705765406,6.626905235255135,0.0,0.6626905235255136,20.54340622929092,2.6507620941020544,1.3253810470510272,0.6626905235255136,9.277667329357191,4.638833664678596,6.626905235255135,1.3253810470510272,3.976143141153081,1.9880715705765406,1.9880715705765406,0.6626905235255136,0.0,1.3253810470510272,0.6626905235255136,1.3253810470510272,5.964214711729622,3.976143141153081,0.6626905235255136,0.6626905235255136,0.0,0.0,1.9880715705765406,2.6507620941020544,1.9880715705765406,1.9880715705765406,1.9880715705765406,1.9880715705765406,0.6626905235255136,0.0,2.6507620941020544,1.9880715705765406,0.6626905235255136,0.0,2.6507620941020544,0.0,0.6626905235255136,0.6626905235255136,1.3253810470510272,0.0,0.0,0.6626905235255136,0.0,0.0,2.6507620941020544,1.3253810470510272,2.6507620941020544,0.6626905235255136,1.9880715705765406,0.6626905235255136,0.0,0.0,0.6626905235255136,0.0,1.3253810470510272,1.9880715705765406,0.0,0.0,0.0,0.0,0.0,3.3134526176275676,0.6626905235255136,0.0,1.3253810470510272,2.6507620941020544,0.0,0.0,0.6626905235255136,3.3134526176275676,1.3253810470510272,0.0,0.6626905235255136,0.0,0.0,23.215384615384615,17.8381547059557,4.131875414181577,0.3326706428098078,1509
Isaiah,Isaiah_1-39,2,proto_isaiah,First Oxford,81.24174372523117,76.61822985468956,45.57463672391017,14.531043593130779,16.512549537648614,17.8335535006605,10.568031704095112,34.34610303830912,18.49405548216645,8.58652575957728,8.58652575957728,11.228533685601057,20.47556142668428,9.907529722589167,18.49405548216645,3.3025099075297226,16.512549537648614,10.568031704095112,11.889035667107,3.3025099075297226,4.623513870541612,5.284015852047556,2.642007926023778,3.963011889035667,1.9815059445178336,1.321003963011889,6.605019815059445,3.3025099075297226,1.321003963011889,6.605019815059445,5.284015852047556,8.58652575957728,1.9815059445178336,3.963011889035667,4.623513870541612,3.3025099075297226,1.321003963011889,0.6605019815059445,1.321003963011889,0.0,0.6605019815059445,0.6605019815059445,0.6605019815059445,1.321003963011889,3.963011889035667,0.6605019815059445,3.3025099075297226,5.284015852047556,0.6605019815059445,0.6605019815059445,1.9815059445178336,0.6605019815059445,0.0,1.9815059445178336,0.0,2.642007926023778,1.9815059445178336,2.642007926023778,0.0,1.9815059445178336,1.9815059445178336,0.0,0.0,0.0,0.6605019815059445,0.0,0.0,0.6605019815059445,0.0,1.321003963011889,0.0,0.0,1.9815059445178336,0.0,1.321003963011889,2.642007926023778,4.623513870541612,1.321003963011889,0.0,3.3025099075297226,0.6605019815059445,1.9815059445178336,0.6605019815059445,0.0,1.321003963011889,0.0,1.321003963011889,0.0,0.6605019815059445,0.0,0.6605019815059445,1.321003963011889,0.0,0.6605019815059445,2.642007926023778,0.6605019815059445,0.6605019815059445,0.0,0.6605019815059445,2.642007926023778,1.321003963011889,0.6605019815059445,1.9815059445178336,0.0,0.0,19.662337662337663,12.668203769403421,3.9207397622192866,0.2892998678996037,1514
Isaiah,Isaiah_1-39,3,proto_isaiah,First Oxford,86.98539176626826,63.081009296148736,47.144754316069054,15.272244355909695,15.936254980079681,15.272244355909695,9.296148738379815,36.52058432934927,14.608233731739707,4.648074369189907,23.240371845949536,6.6401062416998675,12.616201859229747,11.288180610889775,12.616201859229747,15.272244355909695,11.288180610889775,17.264276228419654,5.3120849933598935,5.3120849933598935,8.632138114209827,5.9760956175298805,12.616201859229747,7.304116865869854,1.9920318725099602,1.3280212483399734,4.648074369189907,5.3120849933598935,1.3280212483399734,0.6640106241699867,5.9760956175298805,1.9920318725099602,0.0,5.3120849933598935,6.6401062416998675,4.648074369189907,5.3120849933598935,0.6640106241699867,1.9920318725099602,1.3280212483399734,2.6560424966799467,0.0,2.6560424966799467,3.3200531208499338,0.0,2.6560424966799467,6.6401062416998675,5.9760956175298805,2.6560424966799467,2.6560424966799467,2.6560424966799467,2.6560424966799467,0.6640106241699867,1.9920318725099602,3.9840637450199203,1.9920318725099602,0.0,0.0,1.3280212483399734,1.3280212483399734,1.3280212483399734,1.3280212483399734,1.3280212483399734,0.0,1.9920318725099602,0.0,1.9920318725099602,1.3280212483399734,1.3280212483399734,0.0,0.0,0.0,0.6640106241699867,0.0,3.9840637450199203,1.9920318725099602,1.9920318725099602,0.6640106241699867,0.0,1.3280212483399734,0.0,0.6640106241699867,0.6640106241699867,0.0,2.6560424966799467,0.6640106241699867,0.6640106241699867,1.3280212483399734,0.0,0.0,0.0,3.3200531208499338,0.6640106241699867,1.3280212483399734,1.9920318725099602,0.0,0.0,0.6640106241699867,0.0,5.3120849933598935,0.6640106241699867,1.3280212483399734,0.6640106241699867,1.9920318725099602,0.0,19.81578947368421,12.19006338906254,4.077689243027889,0.300132802124834,1506
Isaiah,Isaiah_1-39,4,proto_isaiah,First Oxford,107.07204230006609,66.7547918043622,56.17977528089887,12.557832121612691,11.235955056179774,16.523463317911435,9.91407799074686,61.46728354263053,10.575016523463317,2.643754130865829,15.20158625247852,5.948446794448116,10.575016523463317,7.270323859881032,18.506278916060808,10.575016523463317,7.931262392597489,8.592200925313946,9.253139458030404,1.3218770654329146,9.253139458030404,1.9828155981493722,7.270323859881032,2.643754130865829,0.6609385327164573,3.304692663582287,1.9828155981493722,5.287508261731658,3.9656311962987445,1.3218770654329146,12.557832121612691,2.643754130865829,0.0,1.3218770654329146,6.609385327164574,11.235955056179774,0.0,0.6609385327164573,1.3218770654329146,0.0,2.643754130865829,0.0,0.0,0.6609385327164573,0.0,4.626569729015202,4.626569729015202,3.304692663582287,0.0,0.0,1.9828155981493722,2.643754130865829,0.0,5.287508261731658,1.3218770654329146,3.304692663582287,0.0,3.9656311962987445,0.6609385327164573,0.6609385327164573,0.0,1.3218770654329146,1.3218770654329146,0.0,0.6609385327164573,0.6609385327164573,0.0,0.6609385327164573,0.6609385327164573,0.0,0.0,0.0,0.0,0.0,1.9828155981493722,1.9828155981493722,1.9828155981493722,0.0,0.0,0.0,0.6609385327164573,0.0,0.6609385327164573,0.0,3.304692663582287,0.6609385327164573,0.6609385327164573,0.0,0.0,0.0,0.6609385327164573,1.9828155981493722,0.0,1.3218770654329146,2.643754130865829,0.6609385327164573,0.0,0.0,0.0,1.9828155981493722,0.6609385327164573,0.6609385327164573,1.9828155981493722,0.0,0.0,18.9125,13.036673032257886,4.0964970257766025,0.3146067415730337,1513
Isaiah,Isaiah_1-39,5,proto_isaiah,First Oxford,95.8904109589041,43.05283757338552,52.18525766470972,14.350945857795171,16.96020874103066,16.96020874103066,4.5662100456621,39.79125896934116,18.91715590345727,5.870841487279844,11.741682974559687,10.437051532941943,7.8277886497064575,4.5662100456621,17.61252446183953,10.437051532941943,12.393998695368557,17.61252446183953,7.8277886497064575,3.2615786040443573,3.9138943248532287,2.609262883235486,8.48010437051533,4.5662100456621,0.6523157208088715,1.9569471624266144,5.218525766470972,3.9138943248532287,8.48010437051533,0.0,6.523157208088715,1.304631441617743,0.0,3.2615786040443573,8.48010437051533,7.8277886497064575,4.5662100456621,0.0,0.6523157208088715,1.304631441617743,0.6523157208088715,0.0,1.304631441617743,1.304631441617743,1.304631441617743,7.175472928897586,5.870841487279844,5.870841487279844,2.609262883235486,0.0,3.2615786040443573,1.9569471624266144,0.6523157208088715,2.609262883235486,2.609262883235486,0.6523157208088715,0.6523157208088715,2.609262883235486,0.6523157208088715,0.0,2.609262883235486,1.304631441617743,0.0,0.0,0.0,0.0,0.6523157208088715,0.6523157208088715,0.0,0.0,0.0,0.0,0.0,4.5662100456621,3.9138943248532287,8.48010437051533,7.175472928897586,0.0,0.0,1.304631441617743,1.304631441617743,0.0,0.0,0.0,2.609262883235486,1.304631441617743,0.0,0.0,0.0,0.0,0.0,2.609262883235486,0.6523157208088715,1.304631441617743,0.6523157208088715,1.304631441617743,0.0,0.0,0.0,1.304631441617743,0.0,1.304631441617743,1.9569471624266144,1.9569471624266144,0.0,18.46987951807229,10.721375281991174,4.105675146771037,0.324853228962818,1533
Isaiah,Isaiah_1-39,6,proto_isaiah,First Oxford,106.45375914836993,71.19095143047238,55.222887558216904,17.298735861610112,16.6333998669328,19.960079840319363,7.984031936127744,42.58150365934797,5.9880239520958085,7.318695941450432,5.9880239520958085,5.9880239520958085,21.956087824351297,1.996007984031936,18.629407850964736,12.641383898868929,7.984031936127744,5.322687957418497,5.322687957418497,0.6653359946773121,8.649367930805056,1.3306719893546242,3.992015968063872,5.9880239520958085,1.3306719893546242,4.657351962741184,3.32667997338656,3.992015968063872,2.6613439787092483,1.996007984031936,3.32667997338656,3.32667997338656,0.0,1.3306719893546242,3.32667997338656,5.9880239520958085,4.657351962741184,0.0,3.32667997338656,1.3306719893546242,0.0,0.0,1.996007984031936,2.6613439787092483,0.0,1.996007984031936,2.6613439787092483,6.65335994677312,2.6613439787092483,0.0,4.657351962741184,1.3306719893546242,0.6653359946773121,2.6613439787092483,0.6653359946773121,1.3306719893546242,0.6653359946773121,1.3306719893546242,0.6653359946773121,1.996007984031936,3.32667997338656,3.32667997338656,0.0,0.0,0.6653359946773121,0.0,1.3306719893546242,0.6653359946773121,0.0,0.0,0.0,0.6653359946773121,0.6653359946773121,0.0,2.6613439787092483,0.6653359946773121,5.322687957418497,0.0,0.6653359946773121,1.3306719893546242,0.0,0.6653359946773121,1.3306719893546242,0.6653359946773121,3.32667997338656,0.0,0.6653359946773121,0.6653359946773121,0.6653359946773121,0.0,0.0,1.3306719893546242,0.0,0.0,1.3306719893546242,0.0,0.6653359946773121,0.0,0.0,4.657351962741184,0.0,0.6653359946773121,1.996007984031936,0.6653359946773121,0.0,21.782608695652176,13.050481211870068,4.117099135063207,0.3040585495675316,1503
Isaiah,Isaiah_1-39,7,proto_isaiah,First Oxford,92.25806451612902,51.61290322580645,58.70967741935484,21.93548387096774,18.06451612903226,12.903225806451612,12.903225806451612,20.64516129032258,10.96774193548387,5.806451612903226,3.870967741935484,9.03225806451613,16.774193548387096,4.516129032258065,11.612903225806452,5.161290322580645,12.258064516129032,9.03225806451613,14.838709677419356,6.451612903225806,1.935483870967742,0.6451612903225806,7.096774193548388,5.806451612903226,2.5806451612903225,1.935483870967742,6.451612903225806,5.161290322580645,9.03225806451613,4.516129032258065,0.6451612903225806,10.96774193548387,1.2903225806451613,3.225806451612903,7.741935483870968,7.096774193548388,5.161290322580645,0.0,2.5806451612903225,0.6451612903225806,5.806451612903226,1.2903225806451613,0.0,0.0,0.0,2.5806451612903225,3.870967741935484,3.870967741935484,5.806451612903226,0.6451612903225806,1.935483870967742,0.6451612903225806,3.225806451612903,3.225806451612903,3.225806451612903,0.0,0.6451612903225806,2.5806451612903225,1.2903225806451613,0.6451612903225806,0.6451612903225806,2.5806451612903225,1.2903225806451613,0.0,0.0,0.0,0.6451612903225806,0.6451612903225806,0.0,0.6451612903225806,0.0,0.6451612903225806,0.6451612903225806,1.2903225806451613,6.451612903225806,5.806451612903226,7.096774193548388,1.2903225806451613,0.0,0.6451612903225806,0.6451612903225806,1.2903225806451613,1.935483870967742,0.0,0.0,1.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.6451612903225806,0.0,0.0,1.2903225806451613,2.5806451612903225,0.0,0.0,0.0,1.2903225806451613,0.0,0.6451612903225806,3.225806451612903,0.0,0.6451612903225806,18.674698795180724,11.754628346310149,4.0683870967741935,0.3116129032258064,1550
Isaiah,Isaiah_1-39,8,proto_isaiah,First Oxford,108.39391936549902,36.35161929940516,42.30006609385327,11.896893588896232,13.879709187045606,28.42035690680767,11.896893588896232,31.064111037673495,16.523463317911435,2.643754130865829,5.287508261731658,5.287508261731658,14.540647719762063,5.287508261731658,13.879709187045606,11.235955056179774,13.218770654329148,16.523463317911435,6.609385327164574,2.643754130865829,4.626569729015202,1.9828155981493722,7.270323859881032,11.235955056179774,0.6609385327164573,0.6609385327164573,6.609385327164574,4.626569729015202,9.91407799074686,1.3218770654329146,3.9656311962987445,3.304692663582287,0.0,4.626569729015202,11.235955056179774,5.287508261731658,6.609385327164574,1.3218770654329146,0.6609385327164573,7.931262392597489,3.304692663582287,0.0,0.0,4.626569729015202,0.6609385327164573,3.304692663582287,3.9656311962987445,2.643754130865829,0.6609385327164573,0.0,0.6609385327164573,3.9656311962987445,0.0,1.3218770654329146,1.9828155981493722,0.6609385327164573,0.0,1.9828155981493722,0.6609385327164573,0.6609385327164573,1.3218770654329146,1.3218770654329146,0.6609385327164573,0.0,1.3218770654329146,0.0,2.643754130865829,0.0,1.3218770654329146,0.6609385327164573,0.0,2.643754130865829,0.0,1.3218770654329146,1.9828155981493722,9.253139458030404,9.253139458030404,0.0,2.643754130865829,2.643754130865829,0.6609385327164573,0.0,0.6609385327164573,1.3218770654329146,1.3218770654329146,0.0,0.0,0.0,0.0,0.6609385327164573,0.0,2.643754130865829,0.6609385327164573,0.6609385327164573,0.6609385327164573,0.0,0.0,0.0,0.6609385327164573,0.6609385327164573,0.6609385327164573,0.0,1.9828155981493722,1.3218770654329146,0.0,16.81111111111111,8.61638548147842,4.047587574355585,0.29874421678783875,1513
Isaiah,Isaiah_1-39,9,proto_isaiah,First Oxford,72.37715803452856,59.09694555112882,36.52058432934927,17.264276228419654,21.912350597609564,15.936254980079681,21.248339973439574,31.208499335989377,11.952191235059761,3.9840637450199203,9.296148738379815,6.6401062416998675,22.57636122177955,8.632138114209827,19.256308100929616,7.304116865869854,15.272244355909695,13.944223107569721,14.608233731739707,4.648074369189907,9.296148738379815,4.648074369189907,9.296148738379815,5.3120849933598935,0.6640106241699867,5.3120849933598935,5.3120849933598935,1.9920318725099602,1.9920318725099602,3.3200531208499338,0.6640106241699867,6.6401062416998675,1.9920318725099602,5.3120849933598935,5.9760956175298805,3.9840637450199203,9.296148738379815,0.6640106241699867,4.648074369189907,2.6560424966799467,1.9920318725099602,0.0,1.9920318725099602,5.9760956175298805,0.6640106241699867,5.9760956175298805,2.6560424966799467,7.968127490039841,1.3280212483399734,0.0,1.9920318725099602,3.3200531208499338,0.0,3.9840637450199203,1.9920318725099602,1.9920318725099602,0.6640106241699867,1.9920318725099602,0.0,0.6640106241699867,1.3280212483399734,0.0,0.0,1.3280212483399734,1.9920318725099602,0.6640106241699867,0.6640106241699867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3120849933598935,2.6560424966799467,2.6560424966799467,3.3200531208499338,0.6640106241699867,0.6640106241699867,0.6640106241699867,1.9920318725099602,0.6640106241699867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6640106241699867,2.6560424966799467,0.6640106241699867,2.6560424966799467,0.6640106241699867,1.3280212483399734,0.0,0.6640106241699867,0.0,4.648074369189907,0.0,4.648074369189907,0.6640106241699867,1.3280212483399734,0.0,19.81578947368421,12.831612408747011,4.0717131474103585,0.3054448871181939,1506
