book,label,chunk_id,group,fw_conj_vav,fw_prep_be,fw_prep_ke,fw_prep_le,fw_prep_min,fw_article_ha,fw_interrog_he,fw_et_dom,fw_asher_rel,fw_ki_causal,fw_lo_neg,fw_kol_all,fw_al_upon,fw_el_to,fw_im_with,fw_hu_pron3ms,fw_zeh_this,fw_peh_mouth_idiom,fw_yom_day,avg_word_len,std_word_len,ttr,n_words
Gen,Gen_P,0,P,180.06430868167203,37.51339764201501,2.1436227224008575,76.09860664523043,8.57449088960343,83.60128617363344,1.0718113612004287,52.51875669882101,15.005359056806002,8.57449088960343,4.287245444801715,23.579849946409432,16.07717041800643,6.430868167202572,0.0,2.1436227224008575,3.215434083601286,0.0,15.005359056806002,2.2862241256245537,1.3374910529227866,0.3654876741693462,933
Exod,Exod_P,0,P,153.9986781229346,27.098479841374754,1.9828155981493722,59.48446794448117,19.16721744877726,118.96893588896233,0.0,44.9438202247191,10.575016523463317,0.0,0.6609385327164573,9.91407799074686,19.82815598149372,13.218770654329148,0.0,0.0,3.9656311962987445,0.0,0.0,2.415775401069519,1.422865469970282,0.33509583608724386,1513
Exod,Exod_P,1,P,154.76190476190476,25.13227513227513,4.62962962962963,64.15343915343915,15.873015873015872,101.85185185185185,0.0,74.07407407407408,15.873015873015872,3.3068783068783065,3.968253968253968,4.62962962962963,48.28042328042328,9.920634920634921,0.0,5.291005291005291,1.3227513227513228,1.984126984126984,3.3068783068783065,2.2607719928186714,1.3246542640581396,0.34854497354497355,1512
Exod,Exod_P,2,P,155.17241379310346,49.734748010610076,1.3262599469496021,77.58620689655173,9.283819628647215,90.18567639257294,0.0,84.21750663129973,18.56763925729443,3.9787798408488064,7.294429708222812,35.80901856763926,9.946949602122016,15.915119363395226,0.0,4.641909814323608,1.9893899204244032,0.0,5.305039787798409,2.3248868778280545,1.3578548462864006,0.35013262599469497,1508
Exod,Exod_P,3,P,157.47508305647838,23.920265780730897,3.3222591362126246,55.14950166112957,11.960132890365449,118.27242524916943,0.0,57.80730897009967,7.973421926910298,0.0,0.0,9.966777408637872,15.946843853820596,4.651162790697675,0.0,0.6644518272425249,2.6578073089700998,0.6644518272425249,0.0,2.399909008189263,1.3901185104397284,0.3362126245847176,1505
Exod,Exod_P,4,P,153.60169491525426,22.245762711864405,18.008474576271187,44.49152542372881,10.59322033898305,133.47457627118644,0.0,131.35593220338984,20.127118644067796,2.1186440677966103,5.296610169491525,18.008474576271187,30.720338983050848,11.652542372881356,0.0,0.0,0.0,3.1779661016949157,2.1186440677966103,2.253623188405797,1.2508640156105117,0.3209745762711864,944
Lev,Lev_P,0,P,114.59027315123251,15.989340439706863,3.331112591605596,47.30179880079947,19.986675549633578,133.24450366422386,0.0,61.29247168554297,27.98134576948701,3.331112591605596,6.662225183211192,19.986675549633578,50.63291139240506,17.321785476349103,0.0,5.329780146568954,0.0,0.0,0.0,2.1996294580824456,1.2986185882977261,0.2351765489673551,1501
Lev,Lev_P,1,P,109.49868073878628,48.15303430079155,5.277044854881266,58.70712401055409,25.72559366754617,92.34828496042216,0.0,44.1952506596306,31.00263852242744,7.9155672823219,13.852242744063323,23.08707124010554,32.98153034300792,13.852242744063323,0.0,13.192612137203167,0.6596306068601583,0.0,3.95778364116095,2.246783088235294,1.2906047448235463,0.3186015831134565,1516
Lev,Lev_P,2,P,175.8827448367755,20.6528980679547,10.659560293137908,51.965356429047304,14.656895403064622,119.25383077948035,0.0,92.60493004663557,21.319120586275815,5.996002664890073,5.329780146568954,9.993337774816789,33.97734843437708,25.31645569620253,0.0,4.663557628247834,1.998667554963358,0.0,7.328447701532311,2.2032374100719423,1.2716005412244102,0.3011325782811459,1501
Lev,Lev_P,3,P,151.03127079174982,55.222887558216904,2.6613439787092483,41.91616766467065,16.6333998669328,144.37791084497673,0.0,45.24284763805722,14.637391882900864,14.637391882900864,19.29474384564205,29.940119760479043,14.637391882900864,13.972055888223553,0.0,28.60944777112442,2.6613439787092483,0.0,15.302727877578176,2.224644128113879,1.2412603218191018,0.30805056553559546,1503
