book,label,chunk_id,group,fw_ὁ,fw_καί,fw_αὐτός,fw_σύ,fw_δέ,fw_ἐν,fw_ἐγώ,fw_εἰμί,fw_εἰς,fw_οὐ,fw_ὅς,fw_οὗτος,fw_ὅτι,fw_πᾶς,fw_μή,fw_γάρ,fw_ἐκ,fw_ἐπί,fw_πρός,fw_ἵνα,fw_διά,fw_ἀπό,fw_ἀλλά,fw_τε,fw_ὡς,fw_κατά,fw_μετά,fw_ὑπό,fw_τίς,fw_οὖν,fw_εἰ,avg_sent_len,std_sent_len,avg_word_len,ttr,n_words
Rom,Rom,0,undisputed,153.6926147704591,44.57751164337991,29.940119760479043,15.968063872255488,14.637391882900864,33.2667997338656,7.984031936127744,18.629407850964736,13.30671989354624,15.968063872255488,10.645375914836993,2.6613439787092483,6.65335994677312,11.976047904191617,7.984031936127744,17.964071856287426,8.649367930805056,3.32667997338656,2.6613439787092483,2.6613439787092483,12.641383898868929,1.996007984031936,5.9880239520958085,0.0,1.996007984031936,8.649367930805056,0.0,1.996007984031936,5.322687957418497,4.657351962741184,3.992015968063872,15.02,13.569067764588693,4.9820239680426095,0.4397870924817033,1503
Rom,Rom,1,undisputed,158.34996673320026,28.60944777112442,15.302727877578176,8.649367930805056,23.286759813705924,19.960079840319363,25.282767797737858,19.960079840319363,22.62142381902861,19.960079840319363,18.629407850964736,7.984031936127744,11.310711909514305,5.322687957418497,8.649367930805056,22.62142381902861,9.314703925482368,6.65335994677312,0.6653359946773121,5.9880239520958085,25.282767797737858,5.322687957418497,13.30671989354624,0.0,2.6613439787092483,2.6613439787092483,0.0,3.32667997338656,2.6613439787092483,8.649367930805056,6.65335994677312,14.97,10.6446747249505,4.794255177020708,0.35395874916833003,1503
Rom,Rom,2,undisputed,151.25495376486128,31.043593130779392,18.49405548216645,12.549537648612946,23.778071334214,24.43857331571995,28.401585204755616,17.8335535006605,14.531043593130779,23.778071334214,17.17305151915456,11.228533685601057,13.21003963011889,9.907529722589167,5.284015852047556,23.778071334214,11.889035667107,3.963011889035667,1.9815059445178336,2.642007926023778,5.9445178335535,3.3025099075297226,11.889035667107,0.0,4.623513870541612,10.568031704095112,0.0,0.0,13.21003963011889,5.9445178335535,6.605019815059445,13.280701754385966,9.810939805055272,4.6889035667107,0.4095112285336856,1514
Rom,Rom,3,undisputed,157.01929474384565,36.593479707252165,26.61343978709248,22.62142381902861,21.290751829673987,12.641383898868929,13.30671989354624,11.310711909514305,13.972055888223553,13.972055888223553,5.322687957418497,9.314703925482368,3.32667997338656,11.310711909514305,27.27877578176979,22.62142381902861,7.318695941450432,3.992015968063872,1.3306719893546242,3.992015968063872,7.984031936127744,1.3306719893546242,10.645375914836993,0.0,3.32667997338656,7.318695941450432,1.996007984031936,1.996007984031936,7.318695941450432,9.314703925482368,11.310711909514305,11.133333333333333,7.340198806471015,4.793080505655356,0.4577511643379907,1503
Rom,Rom,4,undisputed,155.9040590405904,56.27306273062731,19.37269372693727,35.055350553505534,20.29520295202952,34.132841328413285,33.210332103321036,10.14760147601476,20.29520295202952,10.14760147601476,11.992619926199263,4.612546125461255,2.7675276752767526,11.07011070110701,4.612546125461255,11.992619926199263,3.6900369003690034,3.6900369003690034,6.4575645756457565,6.4575645756457565,11.992619926199263,6.4575645756457565,5.535055350553505,0.0,1.8450184501845017,5.535055350553505,2.7675276752767526,1.8450184501845017,0.0,3.6900369003690034,0.9225092250922509,15.055555555555555,10.853684588000633,5.034132841328414,0.46586715867158673,1084
1Cor,1Cor,0,undisputed,125.41473125414731,40.4777704047777,11.2806901128069,31.1877903118779,26.542800265428003,35.83278035832781,29.197080291970803,24.5520902455209,3.981420039814201,19.2435301924353,10.617120106171201,9.2899800928998,7.962840079628402,8.626410086264102,11.2806901128069,19.907100199071003,1.9907100199071004,1.9907100199071004,3.3178500331785004,10.617120106171201,7.962840079628402,1.9907100199071004,11.944260119442601,0.0,7.962840079628402,3.981420039814201,0.0,3.3178500331785004,5.308560053085601,1.3271400132714002,7.962840079628402,13.576576576576576,9.788345294046763,4.777040477770405,0.404777704047777,1507
1Cor,1Cor,1,undisputed,137.35899137358993,41.804910418049104,11.944260119442601,19.907100199071003,30.524220305242203,22.5613802256138,14.598540145985401,27.869940278699403,5.308560053085601,25.879230258792305,7.962840079628402,13.934970139349701,7.962840079628402,6.635700066357001,21.897810218978105,9.2899800928998,3.3178500331785004,4.6449900464499,3.3178500331785004,5.308560053085601,5.972130059721301,1.9907100199071004,12.607830126078301,0.0,8.626410086264102,1.9907100199071004,2.6542800265428004,1.9907100199071004,3.3178500331785004,3.3178500331785004,9.953550099535502,10.963503649635037,8.172777279136282,4.657123834886818,0.42136695421366954,1507
1Cor,1Cor,2,undisputed,130.14608233731738,37.18459495351926,17.928286852589643,18.59229747675963,27.888446215139442,17.264276228419654,21.248339973439574,22.57636122177955,7.968127490039841,24.568393094289508,9.9601593625498,11.952191235059761,10.624169986719787,20.584329349269588,13.944223107569721,18.59229747675963,7.968127490039841,2.6560424966799467,1.9920318725099602,11.288180610889775,9.296148738379815,1.3280212483399734,9.9601593625498,0.0,5.3120849933598935,2.6560424966799467,0.6640106241699867,5.9760956175298805,5.3120849933598935,3.3200531208499338,9.296148738379815,11.49618320610687,7.0585058274435,4.852589641434263,0.42695883134130147,1506
1Cor,1Cor,3,undisputed,115.35926170072513,40.87013843111404,8.569545154911008,15.820698747528017,37.57415952537904,21.09426499670402,11.865524060646012,26.367831245880026,3.955174686882004,25.708635464733028,8.569545154911008,5.273566249176005,10.54713249835201,30.32300593276203,13.183915622940013,14.502307185234015,7.910349373764008,2.6367831245880025,2.6367831245880025,5.932762030323006,3.2959789057350033,0.6591957811470006,9.22874093605801,0.0,2.6367831245880025,4.614370468029005,0.0,2.6367831245880025,3.955174686882004,3.2959789057350033,10.54713249835201,12.847457627118644,8.581243952576354,4.847625329815304,0.41331575477916943,1517
1Cor,1Cor,4,undisputed,123.89380530973452,46.77623261694058,13.90644753476612,31.605562579013903,31.605562579013903,29.077117572692796,15.170670037926675,10.11378002528445,7.585335018963337,15.170670037926675,6.321112515802781,8.849557522123893,5.056890012642225,15.170670037926675,6.321112515802781,15.170670037926675,2.5284450063211126,1.2642225031605563,8.849557522123893,10.11378002528445,2.5284450063211126,0.0,7.585335018963337,0.0,1.2642225031605563,5.056890012642225,5.056890012642225,0.0,5.056890012642225,2.5284450063211126,7.585335018963337,10.012658227848101,5.292683440100669,4.9254108723135275,0.5322376738305942,791
